States,Transaction_Year,Quarters,District,Transaction_Type,Transaction_Count,Transaction_Amount
delhi,2018,2,central delhi,TOTAL,3589206,6223466821.0926285
delhi,2018,2,new delhi,TOTAL,1177251,2387389846.7443447
delhi,2018,2,west,TOTAL,785457,1588935316.1264243
delhi,2018,2,south east delhi,TOTAL,767547,1466216713.987477
delhi,2018,2,north west,TOTAL,575888,1041767876.9620268
delhi,2018,2,north,TOTAL,517958,975252185.7330843
delhi,2018,2,south,TOTAL,513003,979271408.8449214
delhi,2018,2,east,TOTAL,504193,925784169.7499555
delhi,2018,2,south west,TOTAL,440508,903268239.0851493
delhi,2018,2,shahdara,TOTAL,272663,533105673.5945449
delhi,2018,3,central delhi,TOTAL,8165361,10515884583.426525
delhi,2018,3,new delhi,TOTAL,2022950,3481996395.702257
delhi,2018,3,west,TOTAL,1402787,2408205061.402441
delhi,2018,3,south east delhi,TOTAL,1321135,2190894940.921797
delhi,2018,3,north west,TOTAL,1071877,1611349650.512775
delhi,2018,3,south,TOTAL,1009436,1501908121.057089
delhi,2018,3,east,TOTAL,990369,1384933230.2478726
delhi,2018,3,north,TOTAL,955698,1471064055.191176
delhi,2018,3,south west,TOTAL,789269,1374843119.5072455
delhi,2018,3,shahdara,TOTAL,481819,805520386.5670927
delhi,2018,1,central delhi,TOTAL,2997714,4312145216.274474
delhi,2018,1,new delhi,TOTAL,883737,1478916789.169149
delhi,2018,1,south east delhi,TOTAL,562694,929543692.8225484
delhi,2018,1,west,TOTAL,545129,966855137.026748
delhi,2018,1,north west,TOTAL,387431,614242861.0675646
delhi,2018,1,north,TOTAL,361539,574580634.2506722
delhi,2018,1,east,TOTAL,357904,594248348.383992
delhi,2018,1,south,TOTAL,334361,597143870.4750924
delhi,2018,1,south west,TOTAL,318199,555900155.5283471
delhi,2018,1,shahdara,TOTAL,193886,326458215.38394874
delhi,2020,4,central delhi,TOTAL,32194168,61575435521.28283
delhi,2020,4,new delhi,TOTAL,19719782,37020451053.1837
delhi,2020,4,west,TOTAL,12092280,22395396964.83783
delhi,2020,4,south east delhi,TOTAL,11414146,17130268130.317047
delhi,2020,4,north west,TOTAL,8026101,14953244692.580374
delhi,2020,4,south west,TOTAL,7745403,12646111042.466732
delhi,2020,4,east,TOTAL,7410660,10725439312.082693
delhi,2020,4,south,TOTAL,6797385,9578135719.354939
delhi,2020,4,north,TOTAL,6775272,12208521800.583145
delhi,2020,4,shahdara,TOTAL,4208254,9392225302.24066
delhi,2020,2,central delhi,TOTAL,17641823,30418597739.3527
delhi,2020,2,new delhi,TOTAL,13713658,27033383045.67708
delhi,2020,2,west,TOTAL,5753319,8981471481.485285
delhi,2020,2,south east delhi,TOTAL,5215263,7084670452.703098
delhi,2020,2,north west,TOTAL,4270005,6452332763.460186
delhi,2020,2,south west,TOTAL,4193591,6168338438.737105
delhi,2020,2,east,TOTAL,4005780,5059627017.012638
delhi,2020,2,south,TOTAL,3631140,4698622938.32077
delhi,2020,2,north,TOTAL,3462809,5258808051.479293
delhi,2020,2,north east,TOTAL,2229412,3393429629.3164525
delhi,2020,3,central delhi,TOTAL,32203761,61527717933.93762
delhi,2020,3,new delhi,TOTAL,17268250,34516772051.491745
delhi,2020,3,west,TOTAL,8231034,14963814238.681545
delhi,2020,3,south east delhi,TOTAL,7402382,11175362187.684738
delhi,2020,3,north west,TOTAL,5785656,10454717366.918316
delhi,2020,3,south west,TOTAL,5547370,8927576871.08003
delhi,2020,3,east,TOTAL,5054670,7198767026.72743
delhi,2020,3,north,TOTAL,4691610,8507808245.57009
delhi,2020,3,south,TOTAL,4564631,6503381595.242459
delhi,2020,3,north east,TOTAL,2910048,5488227059.169053
delhi,2020,1,central delhi,TOTAL,24757650,41219414205.06069
delhi,2020,1,new delhi,TOTAL,17899322,34941263526.20205
delhi,2020,1,west,TOTAL,6627571,10519670848.51133
delhi,2020,1,south east delhi,TOTAL,6523345,9238065831.407085
delhi,2020,1,east,TOTAL,4783041,5861493191.072474
delhi,2020,1,south,TOTAL,4578729,5702232003.384875
delhi,2020,1,north west,TOTAL,4394010,7009463341.814796
delhi,2020,1,north,TOTAL,4134350,5959728045.553724
delhi,2020,1,south west,TOTAL,3956004,6031191820.22498
delhi,2020,1,shahdara,TOTAL,2148023,3847703306.254819
delhi,2021,4,central delhi,TOTAL,111134916,177625511230.04297
delhi,2021,4,new delhi,TOTAL,61634107,99244375372.27344
delhi,2021,4,south east delhi,TOTAL,21366628,32122243404.91709
delhi,2021,4,west,TOTAL,20430656,39890704519.6619
delhi,2021,4,north west,TOTAL,13585992,26091698381.40573
delhi,2021,4,south,TOTAL,12510023,16942839763.775913
delhi,2021,4,north,TOTAL,12503180,22723650290.401375
delhi,2021,4,south west,TOTAL,12404698,21054166955.724888
delhi,2021,4,east,TOTAL,12092666,18447833006.757885
delhi,2021,4,shahdara,TOTAL,7518346,17929102853.313446
delhi,2021,2,central delhi,TOTAL,62131856,100895875737.76091
delhi,2021,2,new delhi,TOTAL,36788618,60387138441.32027
delhi,2021,2,west,TOTAL,12217454,22460950400.13157
delhi,2021,2,south east delhi,TOTAL,11519378,17106146861.933064
delhi,2021,2,north west,TOTAL,8373397,15462806103.953077
delhi,2021,2,south west,TOTAL,8208259,13456640547.363726
delhi,2021,2,east,TOTAL,7486985,10978698462.135324
delhi,2021,2,south,TOTAL,7346726,9956087387.089846
delhi,2021,2,north,TOTAL,7283521,13045029034.825657
delhi,2021,2,north east,TOTAL,4567057,9118331386.987755
delhi,2021,3,central delhi,TOTAL,88849847,137311394953.58371
delhi,2021,3,new delhi,TOTAL,50089446,77874603330.18227
delhi,2021,3,south east delhi,TOTAL,17254936,25283744433.53666
delhi,2021,3,west,TOTAL,17186832,31879892281.09146
delhi,2021,3,north west,TOTAL,11436200,21133053482.335484
delhi,2021,3,south west,TOTAL,10691277,17385987188.960205
delhi,2021,3,east,TOTAL,10407086,14944795668.028805
delhi,2021,3,south,TOTAL,10381321,13789719686.570164
delhi,2021,3,north,TOTAL,10359707,18205778951.817303
delhi,2021,3,shahdara,TOTAL,6108459,13750322170.230267
delhi,2021,1,central delhi,TOTAL,54173342,90711721159.77658
delhi,2021,1,new delhi,TOTAL,31953482,53832767509.43621
delhi,2021,1,west,TOTAL,12363374,23133622270.239567
delhi,2021,1,south east delhi,TOTAL,12287216,18449868327.686386
delhi,2021,1,north west,TOTAL,8024587,15349170514.54198
delhi,2021,1,east,TOTAL,7874737,11290580992.027351
delhi,2021,1,south west,TOTAL,7721739,12780255587.51034
delhi,2021,1,south,TOTAL,7428356,10208060134.038582
delhi,2021,1,north,TOTAL,7199592,12976771848.005224
delhi,2021,1,shahdara,TOTAL,4235592,9595155648.30619
tamil-nadu,2019,4,chennai,TOTAL,16437269,31810645818.308853
tamil-nadu,2019,4,chengalpattu,TOTAL,7809082,9083457170.596087
tamil-nadu,2019,4,coimbatore,TOTAL,5937176,11949970482.923735
tamil-nadu,2019,4,thiruvallur,TOTAL,4441180,7308502938.397885
tamil-nadu,2019,4,kancheepuram,TOTAL,3134851,4643283492.789846
tamil-nadu,2019,4,tiruppur,TOTAL,2020118,4339514037.303126
tamil-nadu,2019,4,salem,TOTAL,1754893,3897469229.2628374
tamil-nadu,2019,4,tiruchirappalli,TOTAL,1364259,2850823022.8616314
tamil-nadu,2019,4,madurai,TOTAL,1315576,2775348044.296371
tamil-nadu,2019,4,krishnagiri,TOTAL,1302647,2599923579.484123
tamil-nadu,2019,2,chennai,TOTAL,10577435,20366477248.325935
tamil-nadu,2019,2,chengalpattu,TOTAL,3719692,5655296088.730306
tamil-nadu,2019,2,coimbatore,TOTAL,3191687,7063644440.487608
tamil-nadu,2019,2,thiruvallur,TOTAL,2486358,4674408137.818318
tamil-nadu,2019,2,kancheepuram,TOTAL,1656532,2936409443.5988774
tamil-nadu,2019,2,tiruppur,TOTAL,1179119,2631888252.799778
tamil-nadu,2019,2,salem,TOTAL,1018100,2340941775.7458673
tamil-nadu,2019,2,tiruchirappalli,TOTAL,776306,1748258486.2944927
tamil-nadu,2019,2,madurai,TOTAL,741073,1703311128.1845107
tamil-nadu,2019,2,krishnagiri,TOTAL,663016,1504554589.8086202
tamil-nadu,2019,3,chennai,TOTAL,11333032,23024193806.41262
tamil-nadu,2019,3,chengalpattu,TOTAL,5765425,7255276540.840912
tamil-nadu,2019,3,coimbatore,TOTAL,4303835,9457627886.22332
tamil-nadu,2019,3,thiruvallur,TOTAL,3497534,5790229760.583482
tamil-nadu,2019,3,kancheepuram,TOTAL,2374121,3749463855.838708
tamil-nadu,2019,3,tiruppur,TOTAL,1583318,3459384833.8566313
tamil-nadu,2019,3,salem,TOTAL,1348219,3089948772.2836018
tamil-nadu,2019,3,tiruchirappalli,TOTAL,1028271,2283457398.7735853
tamil-nadu,2019,3,madurai,TOTAL,1004838,2163231649.618825
tamil-nadu,2019,3,krishnagiri,TOTAL,906439,1897364248.7738578
tamil-nadu,2019,1,chennai,TOTAL,11642449,18810971714.51368
tamil-nadu,2019,1,chengalpattu,TOTAL,3285713,4918695631.396448
tamil-nadu,2019,1,coimbatore,TOTAL,2709665,5072064993.630945
tamil-nadu,2019,1,thiruvallur,TOTAL,2305713,3957616692.241628
tamil-nadu,2019,1,kancheepuram,TOTAL,1732340,2735468905.1703753
tamil-nadu,2019,1,tiruppur,TOTAL,1078231,2186722074.262658
tamil-nadu,2019,1,salem,TOTAL,949562,1916555034.6953974
tamil-nadu,2019,1,krishnagiri,TOTAL,848874,1549327562.4754324
tamil-nadu,2019,1,tiruchirappalli,TOTAL,739515,1460934059.6618776
tamil-nadu,2019,1,madurai,TOTAL,662080,1386372054.5139372
tamil-nadu,2022,4,chengalpattu,TOTAL,109159290,143850411731.03558
tamil-nadu,2022,4,coimbatore,TOTAL,40259816,56926594389.6588
tamil-nadu,2022,4,chennai,TOTAL,36087169,52708969517.53118
tamil-nadu,2022,4,salem,TOTAL,33193962,52189264730.86203
tamil-nadu,2022,4,thiruvallur,TOTAL,27335584,41018657465.028946
tamil-nadu,2022,4,madurai,TOTAL,21930141,39075713283.65903
tamil-nadu,2022,4,tiruppur,TOTAL,20078625,27993817372.884705
tamil-nadu,2022,4,kancheepuram,TOTAL,17540782,22979273761.17815
tamil-nadu,2022,4,krishnagiri,TOTAL,16419186,27528800881.08297
tamil-nadu,2022,4,tiruchirappalli,TOTAL,10348183,18674871633.798847
tamil-nadu,2022,2,chennai,TOTAL,105344784,154665269695.64178
tamil-nadu,2022,2,coimbatore,TOTAL,36695888,59260276493.124756
tamil-nadu,2022,2,thiruvallur,TOTAL,25490825,40588215771.8699
tamil-nadu,2022,2,chengalpattu,TOTAL,25456618,33118244166.512466
tamil-nadu,2022,2,salem,TOTAL,16106627,30338068694.55334
tamil-nadu,2022,2,kancheepuram,TOTAL,15868496,22731542491.811836
tamil-nadu,2022,2,tiruppur,TOTAL,15482000,23838727353.10485
tamil-nadu,2022,2,krishnagiri,TOTAL,13942838,24721054679.65894
tamil-nadu,2022,2,madurai,TOTAL,8320838,17264493941.688946
tamil-nadu,2022,2,erode,TOTAL,8037374,14313011584.19171
tamil-nadu,2022,3,chengalpattu,TOTAL,78987490,106079722725.66629
